Solo Leveling;Action, Dark Fantasy;/img/sololeveling.jpg;6 épisodes | 1 saison;Ranked #148 | Members #441,592;Aniplex d'Amérique;Ce qui ne vous tue pas vous rend plus fort ! Mais ce dicton ne s'applique pas au chasseur le plus faible de toute l'humanité, Jinwoo Sung. Après avoir été mortellement blessé lorsqu'il est tombé par hasard sur un double donjon caché, Jinwoo est miraculeusement rescapé. Au bord de la mort, il entrevoit une quête et saisit une opportunité qui lui permet dès lors de gagner en puissance très rapidement. À présent, il souhaite découvrir les secrets de ses pouvoirs et du donjon qui les a engendrés.;
Bucchigiri?!;Action;/img/bucchigiri.jpg;5 épisodes | 1 saison;Ranked #2751 Popularity #3002 Members 52,354;MAPPA;Les rétrouvailles d'Arajin Tomoshibi avec son vieil ami de lycée Matakara Asamine prennent une tournure inattendue lorsqu'ils sont entraînés dans une bagarre avec les caïds du coin. La situation devient encore plus bizarre quand débarque un véritable colosse ! Mais ce n'est que le début d'une bataille plus profonde qui s'en engage…;
The Weakest Tamer Began a Journey to Pick Up Trash;Action, Adventure, Comedy;/img/theWeakestTamerBeganaJourneytoPickUpTrash.jpg;5 épisodes | 1 saison;Ranked #2638 Popularity #3142 Members 47,855;ABC Asahi;Dans un monde de fantasy, les étoiles sont essentielles car elles confèrent des pouvoirs aux dresseurs de monstres. Aussi, lorsqu’Ivy est née sans étoile, son village l'a considérée comme un mauvais présage ! Désormais bannie, elle mène une vie solitaire en récupérant des déchets pour survivre. Jusqu'à ce qu'elle se lie d'amitié avec Sora, un slime tout faible, seul monstre qu'elle ait réussi à apprivoiser dans la forêt. Ensemble, cet attachant duo entame un voyage durant lequel ils apprendront que, même sans étoiles, on peut être utile.;
Metallic Rouge;Action, Science-fiction;/img/metallicRouge.jpg;5 épisodes | 1 saison;Ranked #4517 Popularity #2490 Members 72,776;Fuji Creative Corporation;Dans un monde où les humains se mêlent avec des androïdes appelés Neans, un groupe connu sous le nom des Neuf Immortels entre en révolte contre l’humanité. Chargées d’éliminer ces rebelles, Rouge Redstar (alias Metal Rouge), une fille Nean, et l'enquêtrice Naomi Orthmann se rendent sur Mars pour les traquer…;
The Demon Prince of Momochi House;Fantasy, Romance;/img/theDemonPrinceofMomochiHouse.jpg;6 épisodes | 1 saison;Ranked #2601 Popularity #1166 Members 15,804;Aniplex of America;Le jour de son seizième anniversaire, l'orpheline Himari Momochi hérite d’une vieille demeure ancestrale qu'elle n'a jamais connue. Lorsqu’elle décide de s’y installer, Himari découvre que la maison se situe entre le monde des humains et celui des esprits. De plus, elle est habitée par trois résidents : Yukari, Ise et un garçon étrange, Aoi qui semble cacher un lourd secret…;
